kode pelanggan,umur,kota,gender,education,keluarga,Pekerjaan,Penanggung,Usaha,punya_produk1,punya_produk2,punya_produk3,punya_produk4,punya_produk5,punya_produk6,jualan,omset,penghasilan,average_sisauang_mingguan_1BT,average_sisauang_mingguan_2BT,average_sisauang_mingguan_3BT,average_sisauang_mingguan_4BT,average_sisauang_mingguan_5BT,average_sisauang_mingguan_6BT,sisauang_akhir_1BT,sisauang_akhir_2BT,sisauang_akhir_3BT,sisauang_akhir_4BT,sisauang_akhir_5BT,sisauang_akhir_6BT,sisauang_tertahan_1BT,sisauang_tertahan_2BT,sisauang_tertahan_3BT,sisauang_tertahan_4BT,sisauang_tertahan_5BT,sisauang_tertahan_6BT,sisauang_tersedia_1BT,sisauang_tersedia_2BT,sisauang_tersedia_3BT,sisauang_tersedia_4BT,sisauang_tersedia_5BT,sisauang_tersedia_6BT,sisa_hutang_1BT,sisa_hutang_2BT,sisa_hutang_3BT,sisa_hutang_4BT,sisa_hutang_5BT,sisa_hutang_6BT,jumlah_pembayaran_hutang_1BT,jumlah_pembayaran_hutang_2BT,jumlah_pembayaran_hutang_3BT,jumlah_pembayaran_hutang_4BT,jumlah_pembayaran_hutang_5BT,jumlah_pembayaran_hutang_6BT,jumlah_pengeluaran_1BT,jumlah_pengeluaran_2BT,jumlah_pengeluaran_3BT,jumlah_pengeluaran_4BT,jumlah_pengeluaran_5BT,jumlah_pengeluaran_6BT,jumlah_pemasukan_1BT,jumlah_pemasukan_2BT,jumlah_pemasukan_3BT,jumlah_pemasukan_4BT,jumlah_pemasukan_5BT,jumlah_pemasukan_6BT,frekuensi_pengeluaran_1BT,frekuensi_pengeluaran_2BT,frekuensi_pengeluaran_3BT,frekuensi_pengeluaran_4BT,frekuensi_pengeluaran_5BT,frekuensi_pengeluaran_6BT,frekuensi_pemasukan_1BT,frekuensi_pemasukan_2BT,frekuensi_pemasukan_3BT,frekuensi_pemasukan_4BT,frekuensi_pemasukan_5BT,frekuensi_pemasukan_6BT,tgl data
YG21562,8.0,K,,,,,,,0.0,0.0,1.0,1.0,1.0,0.0,,,,30195.77657,49143.08715,66311.73033,85825.5492,134596.503,41918.56277,26940.88709,33006.26167,52379.37148,69176.93722,89252.24072,154021.6952,0.0,0.0,0.0,0.0,0.0,0.0,26940.88709,33006.26167,52379.37148,69176.93722,89252.24072,154021.6952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7669.713301,21073.25569,23113.85215,23205.30399,69467.87809,26198.92386,1604.338723,1700.14588,6316.286417,3130.000492,4698.42358,155675.6733,12.0,17.0,14.0,13.0,17.0,13.0,2.0,1.0,4.0,4.0,4.0,16.0,04/08/23 14.17
SFR4441,37.0,I,M,,K,Karyawan,,,1.0,1.0,1.0,0.0,0.0,0.0,RITEL,,,4664.242683,0.0,0.0,0.0,0.0,0.0,3320.489736,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3320.489736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81127.22722,0.0,0.0,0.0,0.0,0.0,84021.45001,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
PZ15631,9.0,Q,,,,,,Industri Pengolahan Lainnya,0.0,1.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,266.2891064,6239.811949,13357.81612,7911.342118,0.0,0.0,0.0,518.0409168,7631.308282,20621.18673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0409168,7631.308282,20621.18673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13316.78023,38034.20065,0.0,0.0,0.0,0.0,6203.512866,25044.3222,16612.18005,2.0,6.0,4.0,7.0,10.0,2.0,0.0,0.0,0.0,55.0,131.0,73.0,04/08/23 14.17
YM10287,43.0,E,F,,K,Pedagang,,,0.0,1.0,1.0,0.0,0.0,1.0,,,,0.0,123.8162261,1618.378121,1751.585963,832.2079232,788.0016036,0.0,0.0,870.1992688,2805.252911,1355.452714,969.2003234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.1992688,2805.252911,1355.452714,969.2003234,0.0,0.0,3233.841254,3233.841395,3233.841535,3233.841676,0.0,0.0,0.0,0.0,0.0,0.0,14713.34168,20365.89504,20890.96857,17658.05744,21577.36445,24251.35749,14981.32579,18226.74121,18955.91493,17642.74831,21510.79064,24871.28241,224.0,273.0,419.0,304.0,225.0,271.0,95.0,76.0,92.0,102.0,88.0,79.0,04/08/23 14.17
ECZ9560,40.0,N,F,,K,Usaha Mandiri,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,10201.34805,9742.518452,9179.089961,9167.544327,9164.018467,9303.017686,9332.109238,12331.01959,9249.526294,9169.766662,9166.140748,9162.678079,9131.556805,9131.556805,9131.556805,9131.556805,9131.556805,9131.556805,0.0,1785.462781,0.0,0.0,0.0,0.0,78192.59814,80447.60813,75656.01483,77880.97258,80092.19551,82289.76842,2492.102362,2492.102362,1320.371485,1320.371485,1320.371485,1320.371485,1591.99626,2540.57448,1324.681102,0.0,0.0,0.0,0.0,5622.067773,1404.440734,0.0,0.0,0.0,9.0,14.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
CA16291,41.0,I,F,,K,Usaha Mandiri,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,39258.00243,37611.00513,23081.89666,23477.22413,19689.74862,0.0,39076.17463,38847.78079,22778.55526,23857.96541,22436.71267,0.0,15458.89089,15458.89089,0.0,0.0,0.0,0.0,22203.28375,21974.8899,22778.55526,23857.96541,22436.71267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.8843504,0.0,0.0,0.0,0.0,15579.03677,0.0,125.5018279,23217.1553,0.0,7.0,7.0,9.0,1.0,3.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,04/08/23 14.17
SDXRV82,20.0,K,F,,B,Usaha Mandiri,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
APX1349,53.0,G,M,,B,Pedagang,,,1.0,0.0,1.0,0.0,0.0,1.0,,,,404.3896682,197.8280934,66.80691859,0.0,133.1544966,117.4178874,0.0,1152.373875,1389.845332,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.5696007,949.0410574,0.0,0.0,0.0,4884.052587,5030.51631,5176.980034,5323.443757,5469.90748,5616.371204,0.0,0.0,0.0,0.0,0.0,0.0,28667.87949,20591.39722,20485.32895,26626.567,19235.91149,12157.49452,27274.49733,20353.92576,22375.74395,26798.63906,18311.10911,12825.53839,752.0,517.0,498.0,543.0,569.0,384.0,217.0,183.0,232.0,190.0,278.0,61.0,04/08/23 14.17
TGY1034,43.0,E,M,,K,Usaha Mandiri,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.8149606,1328.758718,1032.534027,602.2237767,1767.313273,1313.934407,252.3610096,1328.744938,1032.088653,606.5522357,1765.046682,1165.913878,2.0,2.0,3.0,5.0,9.0,7.0,3.0,1.0,7.0,4.0,4.0,6.0,04/08/23 14.17
SPKM609,34.0,F,F,,B,Usaha Mandiri,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.704162,4966.556538,0.0,0.0,0.0,1799.82874,429.0999016,5045.615157,0.0,0.0,0.0,1714.520177,33.0,59.0,14.0,10.0,14.0,15.0,20.0,35.0,16.0,4.0,12.0,9.0,04/08/23 14.17
MRFW635,21.0,L,M,,B,Usaha Mandiri,,,1.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
YL27658,38.0,B,F,,K,,DARI SUAMI,,0.0,1.0,1.0,0.0,0.0,1.0,RITEL,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.64426322,148.2890889,245.9339145,343.5787402,441.2235658,0.0,0.0,0.0,0.0,0.0,0.0,17198.20233,7744.500141,8636.539722,9807.607846,5490.836895,7506.971597,17439.85039,7642.960771,8766.916057,9727.53698,5421.21288,6869.536417,173.0,144.0,187.0,127.0,120.0,110.0,268.0,267.0,284.0,294.0,208.0,242.0,04/08/23 14.17
BCW7272,0.0,L,,,,,,Perdagangan Eceran Elektronik,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
ATRG287,34.0,G,F,,K,Usaha Mandiri,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
KQF5158,5.0,K,,,,,,Jasa Perorangan Melayani RT,1.0,1.0,0.0,1.0,0.0,0.0,,,,39177.08541,30947.11651,49903.39383,0.0,0.0,0.0,30896.52765,5659.293466,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30896.52765,5659.293466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113884.2237,84665.04141,75033.26701,0.0,0.0,0.0,139121.4579,91117.363,75654.23889,0.0,0.0,0.0,32.0,42.0,473.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,04/08/23 14.17
RNQ8380,41.0,E,F,,K,Karyawan,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
AQTQ504,12.0,K,,,,,,Jasa Kegiatan Lainnya,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,1045.098046,2093.183145,227.622429,2885.93933,718.0191339,869.0985658,0.0,2645.376476,1385.348074,4109.499297,2645.754429,0.0,0.0,0.0,0.0,0.0,0.0,869.0985658,0.0,2645.376476,1385.348074,4109.499297,2645.754429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8384.901575,8851.711474,12676.95796,13481.8305,9133.794362,5357.653473,9449.215692,6011.119446,13936.98636,10757.67927,10597.53923,9276.768701,8.0,4.0,7.0,7.0,6.0,5.0,12.0,9.0,16.0,13.0,13.0,13.0,04/08/23 14.17
MBXZ555,41.0,R,F,,K,Pendidik,,,1.0,0.0,1.0,0.0,0.0,1.0,PARTNERSHIP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16512.30181,16915.97673,17316.39693,17714.1025,18109.83929,18503.60721,0.0,0.0,0.0,0.0,0.0,0.0,15247.80048,10800.8506,4795.688273,3599.599269,1748.841887,1429.328178,14998.42351,10718.42238,4678.615017,3728.856791,1756.18286,1384.942281,739.0,511.0,359.0,553.0,270.0,87.0,254.0,213.0,122.0,112.0,70.0,45.0,04/08/23 14.17
LN20479,39.0,B,F,,J,Pedagang,,,0.0,1.0,1.0,1.0,0.0,1.0,RITEL,,,0.0,0.0,0.0,0.0,0.0,118.5271773,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136381.2756,137084.3127,137787.3498,138490.387,139148.8578,139186.692,0.0,0.0,0.0,0.0,0.0,139193.4241,14309.61309,25881.71815,34660.06316,22051.67049,5204.028051,4123.043082,15131.59596,25359.83668,35020.34878,22131.38976,4170.324592,3947.579232,59.0,94.0,124.0,65.0,28.0,24.0,14.0,25.0,33.0,19.0,7.0,7.0,04/08/23 14.17
AQMA969,45.0,B,M,,K,Usaha Mandiri,,,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
